TESTNUMBER,WO,TESTSN,OPERATION,PN,EQUPMENT,FIXTUREID,TESTRESULT,TESTOP,TESTDATE,TESTREASON,TEST_STATUS,CHNumber,CH_Pass_Fail,FailureCodeID,Power(dBm),Bias_Setpoint,Tops_Setpoint,RxP1,DD_RxP1,dRxP1,Rxp_Offset,Rxp_Slope,DDMI_TxP,dTxP,Txp_Offset,Txp_Slope,Tops_off,I2C_Vcc,DDMI_Vcc,dVcc(%),Vcc_Offset,Vcc_Slope,DDMI_Temp,Tx_Disable(dBm),Tops_Mid,TXP_MPDOut_4.5dB,TXP_MPDOut_3.5dB,TXP_MPDOut_3dB,TXP_MPDOut_2.5dB,Outer_OMA(dB),Outer_ER(dB),TDECQ(dB),OMA_TDECQ(dB),RLM,Ceq(dB),TDECQ_Ceq(dB),Rise_Time(ps),Fall_Time(ps),DDMI_Bias(mA),WL(nm),error_WL(nm),ndB_Width(nm),SMSR(dB),LOS_A,LOS_D,LOS_Hys,Tops_room,Case_Temp,dTemp,Tempoffset,ICC(mA),HP_CP(W),Location,Port_SN,AOIBert_SN,Overshoot,Undershoot,TDECQ_4.8E-6,Vbias,Tap2,Tap3,Low_Eye,Sen_MSB,OMA_Sen_MSB,Sen_LSB,OMA_Sen_LSB,LD_Temp,Mode_hopping2,DSP_VCC2.6,DSP_VCC1.8,DSP_VCC0.9,DSP_VCC0.7,LD_Temp_Cal,DSP_Temp,DSP_Temp_Cal,NTC_Temp,Up_Eye,MSB_BER,LSB_BER,Level0,Level1,Level2,Level3,Mode_hopping,Sen,OMA_Sen,RSSI
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,1_LT,Pass,0,2.31,292,1100,-6,-6.76,0.76,-53.81,13.51,1.99,0.32,28.27,39.46,0.78,3.32,3.32,0,110.94,24.41,-1.82,-32.26,,,,,,2.18,4.6,1.08,1.1,0.95,0.16,0.92,9.12,8.53,186,1307.16,-3.84,0.16,58.28,-12.5,-10.7,1.8,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,8.11,8.08,2.72,5,-95,780,1060,-9.25,-9.3,-8.92,-8.98,3.11,0.35,2.4042,1.7485,0.9389,0.6398,4.33,15,13.87,11.47,2000,2.00E-06,2.00E-06,886.99,1472.45,2067.14,2679.65,0.31,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,2_LT,Pass,0,1.78,292,1100,-6,-6.52,0.52,-47.76,14.16,2.36,-0.58,-258.98,41.87,2.17,3.32,3.32,0,110.94,24.41,-1.82,-27.44,,,,,,1.98,5.05,0.94,1.04,0.947,0.03,0.91,9.56,9.71,186,1307.16,-3.84,0.17,57.94,-13.1,-11.1,2,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,9.19,7.84,2.25,5,-95,780,1060,-9.24,-9.29,-8.94,-8.99,3.11,0.34,2.4042,1.7485,0.9389,0.6398,4.33,15,13.87,11.47,2000,2.00E-06,2.00E-06,736.06,1286.32,1865.2,2463.15,0.3,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,3_LT,Pass,0,2.5,292,1031,-6,-5.93,-0.07,-64.96,15.21,2.54,-0.04,2.35,38.63,0.81,3.32,3.32,0,110.94,24.41,-1.82,-29.48,,,,,,2.38,4.61,1.23,1.15,0.952,0.15,1.08,9.71,10.44,186,1307.15,-3.85,0.16,57.91,-13.3,-11.5,1.8,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,8.7,7.86,2.7,5,-95,780,1060,-9.41,-9.47,-9.25,-9.31,3.11,0.32,2.4042,1.7485,0.9389,0.6398,4.33,15,13.87,11.47,2000,2.00E-06,2.00E-06,895.36,1483.55,2080.12,2694.2,0.28,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,4_LT,Pass,0,2.66,292,1100,-6,-5.87,-0.13,-64.91,15,2.24,0.42,-677.02,39.55,0.96,3.32,3.32,0,110.94,24.41,-1.82,-24.99,,,,,,2.7,4.82,1.01,1.69,0.939,0.03,0.98,8.68,9.12,186,1307.16,-3.84,0.17,58.28,-13.5,-11.5,2,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,9.51,7.93,2.4,5,-95,780,1070,-9.68,-9.74,-9.63,-9.68,3.11,0.32,2.4042,1.7485,0.9389,0.6398,4.33,15,13.87,11.47,2010,2.00E-06,2.00E-06,893.08,1524.65,2180.06,2847.55,0.28,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,5_LT,Pass,0,1.49,380,556,-6,-6.01,0.01,-67.93,15.04,1.15,0.34,-129.21,57.66,0.98,3.32,3.32,0,110.94,24.41,-1.82,-26.66,,,,,,1.48,4.76,1.6,-0.12,0.936,0.18,1.42,8.68,10.29,204,1307,-4,0.16,56.23,-13.3,-11.3,2,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,8.4,7.01,2.7,5,-95,780,1060,-9.57,-9.62,-9.56,-9.61,3.14,0.31,2.4042,1.7485,0.9389,0.6398,4.37,15,13.87,11.47,2000,2.00E-06,2.00E-06,731.23,1230.85,1742.28,2272.48,0.27,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,6_LT,Pass,0,1.52,380,542,-6,-5.54,-0.46,-89.54,15.35,1.33,0.19,140.19,51.26,2.57,3.32,3.32,0,110.94,24.41,-1.82,-19.74,,,,,,1.55,4.81,1.23,0.32,0.936,0.02,1.21,10.44,8.97,204,1307,-4,0.16,56.27,-13.7,-11.9,1.8,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,9.32,7.72,2.28,5,-95,780,1070,-10.4,-10.46,-10.14,-10.19,3.14,0.3,2.4042,1.7485,0.9389,0.6398,4.37,15,13.87,11.47,2010,2.00E-06,2.00E-06,681.6,1154.97,1638.81,2140.86,0.26,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,7_LT,Pass,0,2.2,380,610,-6,-6.44,0.44,-58.89,15.13,2.28,-0.08,208.34,57.76,2.36,3.32,3.32,0,110.94,24.41,-1.82,-23.6,,,,,,2.27,4.87,1.51,0.76,0.944,0.24,1.27,9.71,8.68,204,1307,-4,0.17,56.24,-12.9,-11.1,1.8,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,8.61,7.45,2.87,5,-95,780,1070,-9.35,-9.4,-9.13,-9.18,3.14,0.31,2.4042,1.7485,0.9389,0.6398,4.37,15,13.87,11.47,2010,2.00E-06,2.00E-06,817.58,1398.32,1997.25,2610.09,0.27,,,
A2026022318000619260,240016222,P168252500356,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83200,2026/2/23 18:00,0,0,8_LT,Pass,0,2.43,380,672,-6,-6.14,0.14,-65,15.43,2.4,0.03,-172.69,53.55,1.81,3.32,3.32,0,110.94,24.41,-1.82,-21.9,,,,,,2.35,4.67,0.88,1.47,0.922,0.13,0.75,9.56,8.53,204,1306.99,-4.01,0.16,56.25,-13.1,-11.3,1.8,0,-0.26,1.55,-3.04,3492.5,11.6,A Slot6 Port1,A2025061106,02A,8.61,7.58,2.02,5,-95,780,1060,-9.44,-9.5,-9.2,-9.25,3.14,0.29,2.4042,1.7485,0.9389,0.6398,4.37,15,13.87,11.47,2000,2.00E-06,2.00E-06,926.28,1537.63,2179.88,2834.64,0.25,,,
A2026022405590993053,240016222,P168252501793,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83887,2026/2/24 05:59,0,0,1_LT,Pass,0,2.73,300,657,-6,-6.34,0.34,-15.74,15.39,1.78,0.95,1247.37,43.29,1.6,3.31,3.3,0,1199.97,23.7,-0.05,-19.52,,,,,,2.64,4.65,1.35,1.29,0.953,0.27,1.08,8.68,9.26,181,1307.08,-3.92,0.16,57.97,-13.3,-11.1,2.2,0,-1,-0.95,-1.84,3380,11.17,A Slot6 Port1,A2025061106,02A,7.52,7.88,2.75,5,-95,780,1050,-9.08,-9.13,-8.74,-8.8,2.34,0.39,2.4029,1.746,0.9377,0.6325,3.55,15,13.87,10.95,1990,2.00E-06,2.00E-06,982.28,1641.07,2312.22,3001.13,0.33,,,
A2026022405590993053,240016222,P168252501793,TP2+TP3 LT TEST,4.00454E+11,T157100001946,T157100001946,Pass,TW83887,2026/2/24 05:59,0,0,2_LT,Pass,0,2.1,300,684,-6,-6.48,0.48,-70.84,14.87,1.91,0.19,680.97,46.26,2.04,3.31,3.3,0,1199.97,23.7,-0.05,-23.32,,,,,,2.02,4.67,0.99,1.03,0.969,0.1,0.89,9.12,9.71,181,1307.1,-3.9,0.16,57.71,-12.9,-10.9,2,0,-1,-0.95,-1.84,3380,11.17,A Slot6 Port1,A2025061106,02A,9.07,7.34,2.36,5,-95,780,1060,-8.99,-9.04,-8.68,-8.74,2.34,0.41,2.4029,1.746,0.9377,0.6325,3.55,15,13.87,10.95,2000,2.00E-06,2.00E-06,851.53,1425.2,2008.72,2599.79,0.35,,,
