TESTNUMBER	WO	TESTSN	OPERATION	PN	EQUPMENT	FIXTUREID	TESTRESULT	TESTOP	TESTDATE	TESTREASON	TEST_STATUS	CHNumber	CH_Pass_Fail	FailureCodeID	Power(dBm)	Bias_Setpoint	Tops_Setpoint	RxP1	DD_RxP1	dRxP1	Rxp_Offset	Rxp_Slope	DDMI_TxP	dTxP	Txp_Offset	Txp_Slope	Tops_off	I2C_Vcc	DDMI_Vcc	dVcc(%)	Vcc_Offset	Vcc_Slope	DDMI_Temp	Tx_Disable(dBm)	Tops_Mid	TXP_MPDOut_4.5dB	TXP_MPDOut_3.5dB	TXP_MPDOut_3dB	TXP_MPDOut_2.5dB	Outer_OMA(dB)	Outer_ER(dB)	TDECQ(dB)	OMA_TDECQ(dB)	RLM	Ceq(dB)	TDECQ_Ceq(dB)	Rise_Time(ps)	Fall_Time(ps)	DDMI_Bias(mA)	WL(nm)	error_WL(nm)	ndB_Width(nm)	SMSR(dB)	LOS_A	LOS_D	LOS_Hys	Tops_room	Case_Temp	dTemp	Tempoffset	ICC(mA)	HP_CP(W)	Location	Port_SN	AOIBert_SN	Overshoot	Undershoot	TDECQ_4.8E-6	Vbias	Tap2	Tap3	Low_Eye	Sen_MSB	OMA_Sen_MSB	Sen_LSB	OMA_Sen_LSB	LD_Temp	Mode_hopping2	DSP_VCC2.6	DSP_VCC1.8	DSP_VCC0.9	DSP_VCC0.7	LD_Temp_Cal	DSP_Temp	DSP_Temp_Cal	NTC_Temp	Up_Eye	MSB_BER	LSB_BER	Level0	Level1	Level2	Level3	Mode_hopping	Sen	OMA_Sen	RSSI
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	1_HT	Pass	0	1.84	331	1100	-6	-6.17	0.17	-53.81	13.51	2.58	-0.74	28.27	39.46	0.78	3.28	3.27	0.01	110.94	24.41	72.83	-31.45						2.1	5.13	1.49	0.61	0.94	0.68	0.81	8.82	9.12	327	1314.27	3.27	0.17	56.18	-13.3	-11.3	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.67	9.13	2.47	5	-95	780	1060	-9.3	-9.35	-9.12	-9.18	73.2	0.37	2.3932	1.7521	0.9451	0.6435	75.23	90	80.9	71.66	2000	2.00E-06	2.00E-06	720.36	1286.83	1872.32	2472.6	0.4			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	2_HT	Pass	0	0.9	331	1100	-6	-6.22	0.22	-47.76	14.16	2.96	-2.06	-258.98	41.87	2.17	3.28	3.27	0.01	110.94	24.41	72.83	-33.82						1.29	5.34	1.44	-0.15	0.934	0.54	0.9	8.68	9.71	327	1314.28	3.28	0.17	56.14	-13.3	-11.3	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	10.52	8.84	2.34	5	-95	780	1060	-9.04	-9.09	-8.66	-8.71	73.2	0.37	2.3932	1.7521	0.9451	0.6435	75.23	90	80.9	71.66	2000	2.00E-06	2.00E-06	530.18	967.47	1428.1	1900.81	0.4			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	3_HT	Pass	0	1.48	331	1031	-6	-6.2	0.2	-64.96	15.21	3.07	-1.59	2.35	38.63	0.81	3.28	3.27	0.01	110.94	24.41	72.83	-30.4						1.76	5.17	1.52	0.24	0.94	0.72	0.8	8.68	10	327	1314.29	3.29	0.17	56.1	-13.1	-11.3	1.8	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.41	8.2	2.27	5	-95	780	1060	-8.75	-8.8	-8.39	-8.44	73.2	0.37	2.3932	1.7521	0.9451	0.6435	75.23	90	80.9	71.66	2000	2.00E-06	2.00E-06	622.28	1115.18	1623.68	2147.02	0.4			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	4_HT	Pass	0	1.8	331	1100	-6	-5.28	-0.72	-64.91	15	2.88	-1.08	-677.02	39.55	0.96	3.28	3.27	0.01	110.94	24.41	72.83	-26.81						2.22	5.38	1.46	0.76	0.933	0.5	0.96	8.97	10	327	1314.3	3.3	0.17	56.22	-14.1	-12.1	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.69	8.23	2.7	5	-95	780	1070	-9.79	-9.85	-9.51	-9.56	73.2	0.37	2.3932	1.7521	0.9451	0.6435	75.23	90	80.9	71.66	2010	2.00E-06	2.00E-06	690.41	1267.71	1871.51	2482.78	0.4			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	5_HT	Pass	0	1.37	380	556	-6	-5.99	-0.01	-67.93	15.04	1.64	-0.27	-129.21	57.66	0.98	3.28	3.27	0.01	110.94	24.41	72.83	-26.58						1.58	5.06	1.37	0.21	0.928	0.64	0.73	9.41	9.26	349	1313.75	2.75	0.17	55.69	-13.3	-11.5	1.8	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.14	8.28	3.04	5	-95	780	1060	-8.98	-9.03	-8.75	-8.81	73.2	-0.03	2.3932	1.7521	0.9451	0.6435	75.28	90	80.9	71.66	2000	2.00E-06	2.00E-06	608.1	1067.94	1547.61	2038.92	0			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	6_HT	Pass	0	0.67	380	542	-6	-5.78	-0.22	-89.54	15.35	1.7	-1.03	140.19	51.26	2.57	3.28	3.27	0.01	110.94	24.41	72.83	-21.9						0.99	5.22	1.44	-0.45	0.938	0.48	0.96	9.56	9.26	349	1313.8	2.8	0.18	55.88	-13.5	-11.5	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.57	9.04	3.06	5	-95	780	1070	-9.29	-9.34	-9.04	-9.1	73.2	0.01	2.3932	1.7521	0.9451	0.6435	75.28	90	80.9	71.66	2010	2.00E-06	2.00E-06	506.88	916.5	1339.77	1775.18	0.04			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	7_HT	Pass	0	1.42	380	610	-6	-5.62	-0.38	-58.89	15.13	2.4	-0.98	208.34	57.76	2.36	3.28	3.27	0.01	110.94	24.41	72.83	-24.8						1.54	4.94	1.38	0.16	0.985	0.68	0.7	9.56	9.26	349	1313.85	2.85	0.16	55.92	-13.9	-11.9	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	9.77	9	2.71	5	-95	780	1070	-9.07	-9.12	-9.01	-9.07	73.2	0.07	2.3932	1.7521	0.9451	0.6435	75.28	90	80.9	71.66	2010	2.00E-06	2.00E-06	623.07	1096.7	1576.69	2054.48	0.1			
A2026022322483573125	240016222	P168252500356	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83871	2026/2/23 22:48	0	0	8_HT	Pass	0	1.74	380	672	-6	-5.57	-0.43	-65	15.43	2.56	-0.82	-172.69	53.55	1.81	3.28	3.27	0.01	110.94	24.41	72.83	-22.5						1.78	4.82	1.18	0.6	0.977	0.56	0.62	9.71	9.56	349	1313.88	2.88	0.17	55.82	-13.7	-11.7	2	0	73.53	0.7	0.11	3953.75	12.98	B Slot1 Port1	B2025061901	03B	10.1	8.97	2.28	5	-95	780	1060	-9.26	-9.31	-9.17	-9.22	73.2	0.09	2.3932	1.7521	0.9451	0.6435	75.28	90	80.9	71.66	2000	2.00E-06	2.00E-06	682.23	1173.38	1670.86	2172.46	0.12			
A2026022408003380704	240016222	P168252501793	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83887	2026/2/24 08:00	0	0	1_HT	Pass	0	2.79	311	657	-6	-6.28	0.28	-15.74	15.39	1.97	0.82	1247.37	43.29	1.6	3.26	3.26	0.01	1199.97	23.7	73.71	-19.06						2.86	4.87	1.69	1.17	0.963	0.86	0.83	8.82	8.97	267	1313.63	2.63	0.16	55.28	-13.3	-11.3	2	0	73.79	0.07	-1.88	3761.25	12.28	A Slot2 Port1	A2025061102	03A	9.4	9.45	2.58	5	-95	780	1050	-8.26	-8.31	-8.1	-8.15	73.51	-0.25	2.3895	1.7448	0.9426	0.6374	75.55	92	82.68	72.27	1990	2.00E-06	2.00E-06	957.19	1664.58	2385.26	3119.28	-0.13			
A2026022408003380704	240016222	P168252501793	TP2+TP3 HT TEST	4.00454E+11	T169100001641	T169100001641	Pass	TW83887	2026/2/24 08:00	0	0	2_HT	Pass	0	2.59	311	684	-6	-6.69	0.69	-70.84	14.87	2.21	0.38	680.97	46.26	2.04	3.26	3.26	0.01	1199.97	23.7	73.71	-20.03						2.69	4.91	1.4	1.29	0.962	0.64	0.76	8.97	8.97	267	1313.66	2.66	0.17	55.16	-12.7	-10.7	2	0	73.79	0.07	-1.88	3761.25	12.28	A Slot2 Port1	A2025061102	03A	10.65	8.94	2.3	5	-95	780	1060	-8.05	-8.1	-7.66	-7.71	73.51	-0.22	2.3895	1.7448	0.9426	0.6374	75.55	92	82.68	72.27	2000	2.00E-06	2.00E-06	841.65	1467.36	2110.7	2755.01	-0.1			
