TESTNUMBER,WO,TESTSN,OPERATION,PN,EQUPMENT,FIXTUREID,TESTRESULT,TESTOP,TESTDATE,TESTREASON,TEST_STATUS,CHNumber,CH_Pass_Fail,FailureCodeID,Power(dBm),Bias_Setpoint,Tops_Setpoint,RxP1,DD_RxP1,dRxP1,Rxp_Offset,Rxp_Slope,DDMI_TxP,dTxP,Txp_Offset,Txp_Slope,Tops_off,I2C_Vcc,DDMI_Vcc,dVcc(%),Vcc_Offset,Vcc_Slope,DDMI_Temp,Tx_Disable(dBm),Tops_Mid,TXP_MPDOut_4.5dB,TXP_MPDOut_3.5dB,TXP_MPDOut_3dB,TXP_MPDOut_2.5dB,Outer_OMA(dB),Outer_ER(dB),TDECQ(dB),OMA_TDECQ(dB),RLM,Ceq(dB),TDECQ_Ceq(dB),Rise_Time(ps),Fall_Time(ps),DDMI_Bias(mA),WL(nm),error_WL(nm),ndB_Width(nm),SMSR(dB),LOS_A,LOS_D,LOS_Hys,Tops_room,Case_Temp,dTemp,Tempoffset,ICC(mA),HP_CP(W),Location,Port_SN,AOIBert_SN,Overshoot,Undershoot,TDECQ_4.8E-6,Vbias,Tap2,Tap3,Low_Eye,Sen_MSB,OMA_Sen_MSB,Sen_LSB,OMA_Sen_LSB,LD_Temp,Mode_hopping2,DSP_VCC2.6,DSP_VCC1.8,DSP_VCC0.9,DSP_VCC0.7,LD_Temp_Cal,DSP_Temp,DSP_Temp_Cal,NTC_Temp,Up_Eye,MSB_BER,LSB_BER,Level0,Level1,Level2,Level3,Mode_hopping,Sen,OMA_Sen,RSSI
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,1_RT,Pass,0,2.12,300,600,-6,-5.38,-0.62,-50.4,14.39,1.31,0.81,930.08,40.02,2.61,3.32,3.31,0.01,483.4,24.17,39.54,-22.17,,,,,,1.94,4.54,1.18,0.76,0.982,0.37,0.81,8.82,9.85,195,1310.58,-0.42,0.16,52.8,-14.1,-12.1,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.42,9.04,2.07,5,-95,780,1090,-10.13,-10.19,-9.98,-10.04,39.22,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2030,2.00E-06,2.00E-06,805.3,1337.36,1872.71,2399.38,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,2_RT,Pass,0,2.25,300,664,-6,-6.05,0.05,-83.87,13.72,1.53,0.72,430.16,45.33,1.12,3.32,3.31,0.01,483.4,24.17,39.54,-24.27,,,,,,2.09,4.57,0.98,1.11,0.976,0.26,0.72,8.82,9.26,195,1310.58,-0.42,0.16,52.91,-13.3,-11.3,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.49,8.04,1.86,5,-95,780,1085,-9.67,-9.72,-9.27,-9.32,39.22,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2025,2.00E-06,2.00E-06,861.97,1428.82,2002.17,2582.61,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,3_RT,Pass,0,1.51,300,635,-6,-6.02,0.02,-45.41,13.76,1.65,-0.14,94.53,47.11,1.88,3.32,3.31,0.01,483.4,24.17,39.54,-22.88,,,,,,1.47,4.72,1.33,0.14,0.988,0.35,0.98,8.82,9.85,195,1310.58,-0.42,0.16,52.8,-13.5,-11.5,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.28,7.87,2.29,5,-95,780,1105,-9.67,-9.72,-9.48,-9.53,39.22,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2045,2.00E-06,2.00E-06,654.78,1110.39,1567.01,2019.01,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,4_RT,Pass,0,2.09,300,849,-6,-5.52,-0.48,-46.74,15.17,2.44,-0.35,199.02,50.71,1.4,3.32,3.31,0.01,483.4,24.17,39.54,-26.84,,,,,,1.64,4.22,1.03,0.61,0.965,0.32,0.71,8.24,9.12,195,1310.58,-0.42,0.16,52.86,-14.1,-11.9,2.2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.83,9.05,2.13,5,-95,780,1075,-10.08,-10.13,-9.81,-9.86,39.22,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2015,2.00E-06,2.00E-06,842.88,1357.49,1861.1,2359.8,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,5_RT,Pass,0,1.2,390,868,-6,-5.89,-0.11,-47.56,14.35,1.74,-0.54,-122.58,34.4,1.39,3.32,3.31,0.01,483.4,24.17,39.54,-34.06,,,,,,1.26,4.85,1.27,-0.01,0.968,0.35,0.92,8.09,9.41,213,1310.61,-0.39,0.17,56.28,-13.7,-11.7,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,8.73,7.93,2.42,5,-95,780,1090,-9.83,-9.88,-9.56,-9.61,39.19,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2030,2.00E-06,2.00E-06,624.02,1071.52,1527.05,1988.32,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,6_RT,Pass,0,1.52,390,891,-6,-5.73,-0.27,-47.94,13.97,2.15,-0.63,-879.57,40.38,1.31,3.32,3.31,0.01,483.4,24.17,39.54,-33.82,,,,,,1.59,4.87,1.15,0.44,0.983,0.29,0.86,8.82,9.41,213,1310.62,-0.38,0.17,56.08,-13.7,-11.7,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.55,8.33,2.26,5,-95,780,1105,-9.8,-9.85,-9.57,-9.63,39.19,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2045,2.00E-06,2.00E-06,699.24,1216.18,1740.11,2253.75,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,7_RT,Pass,0,1.85,390,855,-6,-5.76,-0.24,-59.01,14.51,3.03,-1.18,-1217.46,41.85,2.54,3.32,3.31,0.01,483.4,24.17,39.54,-27.19,,,,,,1.72,4.6,1.39,0.33,0.99,0.38,1.01,8.97,9.41,213,1310.62,-0.38,0.16,56.16,-13.9,-11.7,2.2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.92,8.73,3.27,5,-95,780,1085,-9.38,-9.43,-9.44,-9.49,39.19,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2025,2.00E-06,2.00E-06,776.21,1301.17,1833.59,2358.33,,,,
A2026022412415063713,240016222,P168252403257,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Pass,TW83406,2026/2/24 12:41,0,0,8_RT,Pass,0,2.28,390,1035,-6,-5.76,-0.24,-67.77,14.63,2.5,-0.22,-203.26,34.35,1.17,3.32,3.31,0.01,483.4,24.17,39.54,-27.89,,,,,,1.91,4.31,0.79,1.12,0.994,0.19,0.6,8.68,10.15,213,1310.61,-0.39,0.16,56.22,-13.7,-11.7,2,0,39.95,0.41,-8.35,3606.25,11.96,A Slot4 Port1,A20250625004,01A,9.83,8.38,1.63,5,-95,780,1070,-9.58,-9.64,-9.49,-9.54,39.19,0,2.4042,1.7436,0.9402,0.6386,40.86,52,46.93,42.16,2010,2.00E-06,2.00E-06,888.93,1428.2,1971.5,2511.68,,,,
A2026022319491332420,240016222,P168252403926,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Fail,TW83406,2026/2/23 19:49,0,0,1_RT,Fail,dTemp ACH1 6.12.,0.78,368,902,-6,-6.62,0.62,-39.73,13.86,1.57,-0.79,-357.8,27.49,2.61,3.28,3.28,0,1150.68,23.72,32.15,-32.35,,,,,,0.62,4.57,1.39,-0.77,0.975,0.42,0.97,9.26,9.41,193,1309.86,-1.14,0.17,56.65,-12.9,-10.9,2,0,38.27,6.12,-13.65,3600,11.81,B Slot5 Port1,B20250625005,01B,9.21,8.45,2.5,5,-95,780,1060,-8.81,-8.86,-8.72,-8.77,36.75,0,2.3932,1.7497,0.9414,0.6447,38.37,51,46.04,40.18,2000,2.00E-06,2.00E-06,588.27,978.35,1374.95,1773.28,,,,
A2026022319491332420,240016222,P168252403926,TP2+TP3 RT TEST,4.00454E+11,T157100002125,T157100002125,Fail,TW83406,2026/2/23 19:49,0,0,2_RT,Fail,dTemp ACH2 6.12.,1.63,368,1004,-6,-6.51,0.51,-58.97,14.71,2.18,-0.55,-366.86,29.88,0.92,3.28,3.28,0,1150.68,23.72,32.15,-32.19,,,,,,1.24,4.29,1.08,0.16,0.984,0.29,0.79,10.15,9.56,193,1309.87,-1.13,0.16,56.65,-12.9,-10.9,2,0,38.27,6.12,-13.65,3600,11.81,B Slot5 Port1,B20250625005,01B,9.18,8.47,1.89,5,-95,780,1060,-8.59,-8.64,-8.16,-8.22,36.75,0,2.3932,1.7497,0.9414,0.6447,38.37,51,46.04,40.18,2000,2.00E-06,2.00E-06,797.27,1272.42,1753.07,2234.39,,,,
